i;j;aij  Case 1;aij  Case 2;aij  Case 3;aij  Case 4
0;0;3.8716094872E+08;-1.06694331089E+09;-2.631656853845E+09;-2.659034139215E+09
0;1;-7.5712142823E+08;5.09780901699E+09;8.577786647428E+09;8.635015162704E+09
0;2;5.1175875935E+08;-1.06768520657E+10;-9.084830364411E+09;-8.719985926292E+09
0;3;-3.9297046704E+07;1.17326973109E+10;1.792514297327E+09;3.848043815063E+08
0;4;-3.5175076358E+08;-7.35338099452E+09;5.512523993400E+09;7.691940122467E+09
0;5;1.5918216431E+08;3.04364000082E+09;-8.474085124753E+09;-1.048596152523E+10
0;6;1.5639602882E+08;-9.93862124847E+08;5.656251946331E+09;6.738908833584E+09
0;7;-8.6330533849E+07;1.91750762960E+08;-1.394213575410E+09;-1.638989771371E+09
1;0;-2.5424621962E+09;4.89695962306E+09;1.948110099683E+10;1.981988470408E+10
1;1;4.0392098300E+09;-2.19525405441E+10;-6.088754882818E+10;-6.224314914072E+10
1;2;-1.6657617180E+09;4.44169194919E+10;6.008449843311E+10;6.036094204048E+10
1;3;6.0118099435E+07;-4.50056612899E+10;-1.361354929893E+10;-9.391536556086E+09
1;4;1.3567740314E+09;2.36131541079E+10;-2.053675543678E+10;-2.798838851109E+10
1;5;-6.7362501993E+08;-8.29962755778E+09;3.625491717659E+10;4.372209722466E+10
1;6;-9.5075364643E+08;3.44452419388E+09;-2.816037347809E+10;-3.278900436677E+10
1;7;5.3099281905E+08;-9.21068469635E+08;7.724016064986E+09;8.913649056513E+09
2;0;7.4127269905E+09;-7.85713476038E+09;-6.154626365365E+10;-6.296308210029E+10
2;1;-9.2343492265E+09;3.08654799511E+10;1.821877877940E+11;1.885061267924E+11
2;2;2.7879098889E+08;-6.03908007555E+10;-1.572414445715E+11;-1.636485167071E+11
2;3;8.6401981220E+07;5.18846794858E+10;2.278267268388E+10;2.055849487710E+10
2;4;-1.1362811367E+09;-1.27805831863E+10;2.537899153144E+10;3.188582441117E+10
2;5;1.2865462602E+09;-6.84083708807E+08;-4.701503157085E+10;-5.438963726502E+10
